month,n_views,n_views_health_to_climate,n_views_climate_to_health,date,date_num,year
2019-01,1568,934,634,2019-01-01,17897,2019
2019-02,1270,756,514,2019-02-01,17928,2019
2019-03,1364,792,572,2019-03-01,17956,2019
2019-04,1355,743,612,2019-04-01,17987,2019
2019-05,1704,902,802,2019-05-01,18017,2019
2019-06,1840,1012,828,2019-06-01,18048,2019
2019-07,1813,835,978,2019-07-01,18078,2019
2019-08,2051,976,1075,2019-08-01,18109,2019
2019-09,2368,871,1497,2019-09-01,18140,2019
2019-10,2376,939,1437,2019-10-01,18170,2019
2019-11,2815,1591,1224,2019-11-01,18201,2019
2019-12,1954,1238,716,2019-12-01,18231,2019
2020-01,1860,1021,839,2020-01-01,18262,2020
2020-02,1927,875,1052,2020-02-01,18293,2020
2020-03,1745,753,992,2020-03-01,18322,2020
2020-04,1419,641,778,2020-04-01,18353,2020
2020-05,2159,1506,653,2020-05-01,18383,2020
2020-06,1614,1171,443,2020-06-01,18414,2020
2020-07,1262,847,415,2020-07-01,18444,2020
2020-08,978,677,301,2020-08-01,18475,2020
2020-09,1537,810,727,2020-09-01,18506,2020
2020-10,1627,808,819,2020-10-01,18536,2020
2020-11,1564,762,802,2020-11-01,18567,2020
2020-12,1295,655,640,2020-12-01,18597,2020
2021-01,1185,587,598,2021-01-01,18628,2021
2021-02,1426,633,793,2021-02-01,18659,2021
2021-03,2486,946,1540,2021-03-01,18687,2021
2021-04,1967,899,1068,2021-04-01,18718,2021
2021-05,1726,919,807,2021-05-01,18748,2021
2021-06,1584,873,711,2021-06-01,18779,2021
2021-07,1443,795,648,2021-07-01,18809,2021
2021-08,1543,752,791,2021-08-01,18840,2021
2021-09,2067,1126,941,2021-09-01,18871,2021
2021-10,2746,1194,1552,2021-10-01,18901,2021
2021-11,2790,1184,1606,2021-11-01,18932,2021
2021-12,1609,1157,452,2021-12-01,18962,2021
2022-01,2036,1517,519,2022-01-01,18993,2022
2022-02,1858,1450,408,2022-02-01,19024,2022
2022-03,1618,1275,343,2022-03-01,19052,2022
2022-04,1447,790,657,2022-04-01,19083,2022
2022-05,1391,775,616,2022-05-01,19113,2022
2022-06,1146,684,462,2022-06-01,19144,2022
2022-07,1143,693,450,2022-07-01,19174,2022
2022-08,1053,591,462,2022-08-01,19205,2022
2022-09,1305,803,502,2022-09-01,19236,2022
2022-10,1480,889,591,2022-10-01,19266,2022
2022-11,1747,971,776,2022-11-01,19297,2022
2022-12,1510,947,563,2022-12-01,19327,2022
2023-01,1514,946,568,2023-01-01,19358,2023
2023-02,1086,629,457,2023-02-01,19389,2023
2023-03,1196,587,609,2023-03-01,19417,2023
2023-04,1109,514,595,2023-04-01,19448,2023
2023-05,1161,433,728,2023-05-01,19478,2023
2023-06,948,423,525,2023-06-01,19509,2023
2023-07,1307,565,742,2023-07-01,19539,2023
2023-08,1038,421,617,2023-08-01,19570,2023
2023-09,824,305,519,2023-09-01,19601,2023
2023-10,891,516,375,2023-10-01,19631,2023
2023-11,896,491,405,2023-11-01,19662,2023
2023-12,986,447,539,2023-12-01,19692,2023
2024-01,994,542,452,2024-01-01,19723,2024
2024-02,983,466,517,2024-02-01,19754,2024
2024-03,866,421,445,2024-03-01,19783,2024
2024-04,1009,382,627,2024-04-01,19814,2024
2024-05,1013,466,547,2024-05-01,19844,2024
2024-06,790,325,465,2024-06-01,19875,2024
2024-07,656,236,420,2024-07-01,19905,2024
2024-08,665,268,397,2024-08-01,19936,2024
2024-09,772,304,468,2024-09-01,19967,2024
2024-10,858,363,495,2024-10-01,19997,2024
2024-11,1024,428,596,2024-11-01,20028,2024
2024-12,787,346,441,2024-12-01,20058,2024
2025-01,1058,510,548,2025-01-01,20089,2025
2025-02,774,300,474,2025-02-01,20120,2025
2025-03,720,281,439,2025-03-01,20148,2025
2025-04,540,212,328,2025-04-01,20179,2025
2025-05,694,321,373,2025-05-01,20209,2025
2025-06,626,322,304,2025-06-01,20240,2025
2025-07,614,284,330,2025-07-01,20270,2025
2025-08,765,431,334,2025-08-01,20301,2025
2025-09,766,443,323,2025-09-01,20332,2025
2025-10,790,391,399,2025-10-01,20362,2025
2025-11,746,398,348,2025-11-01,20393,2025
2025-12,693,382,311,2025-12-01,20423,2025
