page,year,n_total,perc_change
Effects of global warming/climate change,2018,846853,NA
Effects of global warming/climate change,2019,1133324,34
Effects of global warming/climate change,2020,575727,-49
Effects of global warming/climate change,2021,362410,-37
Effects of global warming/climate change,2022,356792,-2
Effects of global warming/climate change,2023,339602,-5
Effects of global warming/climate change,2024,284892,-16
Effects of global warming/climate change,2025,213110,-25
Effects of global warming/climate change on human health,2018,104532,NA
Effects of global warming/climate change on human health,2019,177975,70
Effects of global warming/climate change on human health,2020,123554,-31
Effects of global warming/climate change on human health,2021,71062,-42
Effects of global warming/climate change on human health,2022,75790,7
Effects of global warming/climate change on human health,2023,106369,40
Effects of global warming/climate change on human health,2024,70606,-34
Effects of global warming/climate change on human health,2025,58119,-18
